id,sensor_id,recorded_at,seat_id,status
16000,2c:cf:67:ff:f5:f4,2026-06-25 14:23:29+05:30,Ground_Floor_Workstation_Seat_4,0
16001,2c:cf:67:ff:f5:f4,2026-06-25 14:24:11+05:30,Ground_Floor_Workstation_Seat_1,0
16002,2c:cf:67:ff:f5:f4,2026-06-25 14:24:11+05:30,Ground_Floor_Workstation_Seat_2,0
16003,2c:cf:67:ff:f5:f4,2026-06-25 14:24:11+05:30,Ground_Floor_Workstation_Seat_3,1
16004,2c:cf:67:ff:f5:f4,2026-06-25 14:24:11+05:30,Ground_Floor_Workstation_Seat_4,0
16005,2c:cf:67:ff:f5:f4,2026-06-25 14:24:29+05:30,Ground_Floor_Workstation_Seat_1,0
16006,2c:cf:67:ff:f5:f4,2026-06-25 14:24:29+05:30,Ground_Floor_Workstation_Seat_2,0
16007,2c:cf:67:ff:f5:f4,2026-06-25 14:24:29+05:30,Ground_Floor_Workstation_Seat_3,1
16008,2c:cf:67:ff:f5:f4,2026-06-25 14:24:29+05:30,Ground_Floor_Workstation_Seat_4,0
16009,2c:cf:67:ff:f5:f4,2026-06-25 14:25:12+05:30,Ground_Floor_Workstation_Seat_1,1
16010,2c:cf:67:ff:f5:f4,2026-06-25 14:25:12+05:30,Ground_Floor_Workstation_Seat_2,0
16011,2c:cf:67:ff:f5:f4,2026-06-25 14:25:12+05:30,Ground_Floor_Workstation_Seat_3,1
16012,2c:cf:67:ff:f5:f4,2026-06-25 14:25:12+05:30,Ground_Floor_Workstation_Seat_4,0
16013,2c:cf:67:ff:f5:f4,2026-06-25 14:25:30+05:30,Ground_Floor_Workstation_Seat_1,1
16014,2c:cf:67:ff:f5:f4,2026-06-25 14:25:30+05:30,Ground_Floor_Workstation_Seat_2,0
16015,2c:cf:67:ff:f5:f4,2026-06-25 14:25:30+05:30,Ground_Floor_Workstation_Seat_3,1
16016,2c:cf:67:ff:f5:f4,2026-06-25 14:25:30+05:30,Ground_Floor_Workstation_Seat_4,0
12009,2c:cf:67:ff:f5:f4,2026-06-22 21:24:15+05:30,Ground_Floor_Workstation_Seat_1,0
12010,2c:cf:67:ff:f5:f4,2026-06-22 21:24:15+05:30,Ground_Floor_Workstation_Seat_2,0
12011,2c:cf:67:ff:f5:f4,2026-06-22 21:24:15+05:30,Ground_Floor_Workstation_Seat_3,0
12012,2c:cf:67:ff:f5:f4,2026-06-22 21:24:15+05:30,Ground_Floor_Workstation_Seat_4,0
16017,2c:cf:67:ff:f5:f4,2026-06-25 14:26:14+05:30,Ground_Floor_Workstation_Seat_1,0
16018,2c:cf:67:ff:f5:f4,2026-06-25 14:26:14+05:30,Ground_Floor_Workstation_Seat_2,0
16019,2c:cf:67:ff:f5:f4,2026-06-25 14:26:14+05:30,Ground_Floor_Workstation_Seat_3,1
16020,2c:cf:67:ff:f5:f4,2026-06-25 14:26:14+05:30,Ground_Floor_Workstation_Seat_4,0
16021,2c:cf:67:ff:f5:f4,2026-06-25 14:26:40+05:30,Ground_Floor_Workstation_Seat_1,0
16022,2c:cf:67:ff:f5:f4,2026-06-25 14:26:40+05:30,Ground_Floor_Workstation_Seat_2,0
16023,2c:cf:67:ff:f5:f4,2026-06-25 14:26:40+05:30,Ground_Floor_Workstation_Seat_3,1
